"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath","ResourceName","Tags"
"Ensembl 108 EnsDb for Anser brachyrhynchus","Gene and protein annotations for Anser brachyrhynchus based on Ensembl version 108.","3.16","ASM259213v1","ensembl","http://www.ensembl.org","108","Anser brachyrhynchus","132585",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v108/EnsDb.Abrachyrhynchus.v108.sqlite","EnsDb.Abrachyrhynchus.v108.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:108"
"Ensembl 108 EnsDb for Astatotilapia calliptera","Gene and protein annotations for Astatotilapia calliptera based on Ensembl version 108.","3.16","fAstCal1.2","ensembl","http://www.ensembl.org","108","Astatotilapia calliptera","8154",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v108/EnsDb.Acalliptera.v108.sqlite","EnsDb.Acalliptera.v108.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:108"
"Ensembl 108 EnsDb for Anolis carolinensis","Gene and protein annotations for Anolis carolinensis based on Ensembl version 108.","3.16","AnoCar2.0v2","ensembl","http://www.ensembl.org","108","Anolis carolinensis","28377",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v108/EnsDb.Acarolinensis.v108.sqlite","EnsDb.Acarolinensis.v108.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:108"
"Ensembl 108 EnsDb for Amphilophus citrinellus","Gene and protein annotations for Amphilophus citrinellus based on Ensembl version 108.","3.16","Midas_v5","ensembl","http://www.ensembl.org","108","Amphilophus citrinellus","61819",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v108/EnsDb.Acitrinellus.v108.sqlite","EnsDb.Acitrinellus.v108.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:108"
"Ensembl 108 EnsDb for Amazona collaria","Gene and protein annotations for Amazona collaria based on Ensembl version 108.","3.16","ASM394721v1","ensembl","http://www.ensembl.org","108","Amazona collaria","241587",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v108/EnsDb.Acollaria.v108.sqlite","EnsDb.Acollaria.v108.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:108"
"Ensembl 108 EnsDb for Athene cunicularia","Gene and protein annotations for Athene cunicularia based on Ensembl version 108.","3.16","athCun1","ensembl","http://www.ensembl.org","108","Athene cunicularia","194338",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v108/EnsDb.Acunicularia.v108.sqlite","EnsDb.Acunicularia.v108.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:108"
"Ensembl 108 EnsDb for Anser cygnoides","Gene and protein annotations for Anser cygnoides based on Ensembl version 108.","3.16","GooseV1.0","ensembl","http://www.ensembl.org","108","Anser cygnoides","8845",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v108/EnsDb.Acygnoides.v108.sqlite","EnsDb.Acygnoides.v108.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:108"
"Ensembl 108 EnsDb for Apteryx haastii","Gene and protein annotations for Apteryx haastii based on Ensembl version 108.","3.16","aptHaa1","ensembl","http://www.ensembl.org","108","Apteryx haastii","8823",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v108/EnsDb.Ahaastii.v108.sqlite","EnsDb.Ahaastii.v108.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:108"
"Ensembl 108 EnsDb for Ailuropoda melanoleuca","Gene and protein annotations for Ailuropoda melanoleuca based on Ensembl version 108.","3.16","ASM200744v2","ensembl","http://www.ensembl.org","108","Ailuropoda melanoleuca","9646",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v108/EnsDb.Amelanoleuca.v108.sqlite","EnsDb.Amelanoleuca.v108.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:108"
"Ensembl 108 EnsDb for Astyanax mexicanus","Gene and protein annotations for Astyanax mexicanus based on Ensembl version 108.","3.16","Astyanax_mexicanus-2.0","ensembl","http://www.ensembl.org","108","Astyanax mexicanus","7994",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v108/EnsDb.Amexicanus.v108.sqlite","EnsDb.Amexicanus.v108.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:108"
