"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath","ResourceName","Tags"
"Ensembl 104 EnsDb for Anser brachyrhynchus","Gene and protein annotations for Anser brachyrhynchus based on Ensembl version 104.",3.13,"ASM259213v1","ensembl","http://www.ensembl.org",104,"Anser brachyrhynchus",132585,TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v104/EnsDb.Abrachyrhynchus.v104.sqlite","EnsDb.Abrachyrhynchus.v104.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:104"
"Ensembl 104 EnsDb for Astatotilapia calliptera","Gene and protein annotations for Astatotilapia calliptera based on Ensembl version 104.",3.13,"fAstCal1.2","ensembl","http://www.ensembl.org",104,"Astatotilapia calliptera",8154,TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v104/EnsDb.Acalliptera.v104.sqlite","EnsDb.Acalliptera.v104.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:104"
"Ensembl 104 EnsDb for Anolis carolinensis","Gene and protein annotations for Anolis carolinensis based on Ensembl version 104.",3.13,"AnoCar2.0v2","ensembl","http://www.ensembl.org",104,"Anolis carolinensis",28377,TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v104/EnsDb.Acarolinensis.v104.sqlite","EnsDb.Acarolinensis.v104.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:104"
"Ensembl 104 EnsDb for Amphilophus citrinellus","Gene and protein annotations for Amphilophus citrinellus based on Ensembl version 104.",3.13,"Midas_v5","ensembl","http://www.ensembl.org",104,"Amphilophus citrinellus",61819,TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v104/EnsDb.Acitrinellus.v104.sqlite","EnsDb.Acitrinellus.v104.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:104"
"Ensembl 104 EnsDb for Amazona collaria","Gene and protein annotations for Amazona collaria based on Ensembl version 104.",3.13,"ASM394721v1","ensembl","http://www.ensembl.org",104,"Amazona collaria",241587,TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v104/EnsDb.Acollaria.v104.sqlite","EnsDb.Acollaria.v104.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:104"
"Ensembl 104 EnsDb for Athene cunicularia","Gene and protein annotations for Athene cunicularia based on Ensembl version 104.",3.13,"athCun1","ensembl","http://www.ensembl.org",104,"Athene cunicularia",194338,TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v104/EnsDb.Acunicularia.v104.sqlite","EnsDb.Acunicularia.v104.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:104"
"Ensembl 104 EnsDb for Anser cygnoides","Gene and protein annotations for Anser cygnoides based on Ensembl version 104.",3.13,"GooseV1.0","ensembl","http://www.ensembl.org",104,"Anser cygnoides",8845,TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v104/EnsDb.Acygnoides.v104.sqlite","EnsDb.Acygnoides.v104.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:104"
"Ensembl 104 EnsDb for Apteryx haastii","Gene and protein annotations for Apteryx haastii based on Ensembl version 104.",3.13,"aptHaa1","ensembl","http://www.ensembl.org",104,"Apteryx haastii",8823,TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v104/EnsDb.Ahaastii.v104.sqlite","EnsDb.Ahaastii.v104.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:104"
"Ensembl 104 EnsDb for Ailuropoda melanoleuca","Gene and protein annotations for Ailuropoda melanoleuca based on Ensembl version 104.",3.13,"ASM200744v2","ensembl","http://www.ensembl.org",104,"Ailuropoda melanoleuca",9646,TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v104/EnsDb.Amelanoleuca.v104.sqlite","EnsDb.Amelanoleuca.v104.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:104"
"Ensembl 104 EnsDb for Astyanax mexicanus","Gene and protein annotations for Astyanax mexicanus based on Ensembl version 104.",3.13,"Astyanax_mexicanus-2.0","ensembl","http://www.ensembl.org",104,"Astyanax mexicanus",7994,TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v104/EnsDb.Amexicanus.v104.sqlite","EnsDb.Amexicanus.v104.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:104"
"Ensembl 104 EnsDb for Aotus nancymaae","Gene and protein annotations for Aotus nancymaae based on Ensembl version 104.",3.13,"Anan_2.0","ensembl","http://www.ensembl.org",104,"Aotus nancymaae",37293,TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v104/EnsDb.Anancymaae.v104.sqlite","EnsDb.Anancymaae.v104.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:104"
"Ensembl 104 EnsDb for Accipiter nisus","Gene and protein annotations for Accipiter nisus based on Ensembl version 104.",3.13,"Accipiter_nisus_ver1.0","ensembl","http://www.ensembl.org",104,"Accipiter nisus",211598,TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v104/EnsDb.Anisus.v104.sqlite","EnsDb.Anisus.v104.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:104"
"Ensembl 104 EnsDb for Amphiprion ocellaris","Gene and protein annotations for Amphiprion ocellaris based on Ensembl version 104.",3.13,"AmpOce1.0","ensembl","http://www.ensembl.org",104,"Amphiprion ocellaris",80972,TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v104/EnsDb.Aocellaris.v104.sqlite","EnsDb.Aocellaris.v104.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:104"
"Ensembl 104 EnsDb for Apteryx owenii","Gene and protein annotations for Apteryx owenii based on Ensembl version 104.",3.13,"aptOwe1","ensembl","http://www.ensembl.org",104,"Apteryx owenii",8824,TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v104/EnsDb.Aowenii.v104.sqlite","EnsDb.Aowenii.v104.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:104"
"Ensembl 104 EnsDb for Amphiprion percula","Gene and protein annotations for Amphiprion percula based on Ensembl version 104.",3.13,"Nemo_v1","ensembl","http://www.ensembl.org",104,"Amphiprion percula",161767,TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v104/EnsDb.Apercula.v104.sqlite","EnsDb.Apercula.v104.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:104"
"Ensembl 104 EnsDb for Anas platyrhynchos","Gene and protein annotations for Anas platyrhynchos based on Ensembl version 104.",3.13,"ASM874695v1","ensembl","http://www.ensembl.org",104,"Anas platyrhynchos",8839,TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v104/EnsDb.Aplatyrhynchos.v104.sqlite","EnsDb.Aplatyrhynchos.v104.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:104"
"Ensembl 104 EnsDb for Acanthochromis polyacanthus","Gene and protein annotations for Acanthochromis polyacanthus based on Ensembl version 104.",3.13,"ASM210954v1","ensembl","http://www.ensembl.org",104,"Acanthochromis polyacanthus",80966,TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v104/EnsDb.Apolyacanthus.v104.sqlite","EnsDb.Apolyacanthus.v104.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:104"
"Ensembl 104 EnsDb for Apteryx rowi","Gene and protein annotations for Apteryx rowi based on Ensembl version 104.",3.13,"aptRow1","ensembl","http://www.ensembl.org",104,"Apteryx rowi",308060,TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v104/EnsDb.Arowi.v104.sqlite","EnsDb.Arowi.v104.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:104"
"Ensembl 104 EnsDb for Anabas testudineus","Gene and protein annotations for Anabas testudineus based on Ensembl version 104.",3.13,"fAnaTes1.2","ensembl","http://www.ensembl.org",104,"Anabas testudineus",64144,TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v104/EnsDb.Atestudineus.v104.sqlite","EnsDb.Atestudineus.v104.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:104"
"Ensembl 104 EnsDb for Anas zonorhyncha","Gene and protein annotations for Anas zonorhyncha based on Ensembl version 104.",3.13,"ASM222487v1","ensembl","http://www.ensembl.org",104,"Anas zonorhyncha",75864,TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v104/EnsDb.Azonorhyncha.v104.sqlite","EnsDb.Azonorhyncha.v104.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:104"
"Ensembl 104 EnsDb for Bubo bubo","Gene and protein annotations for Bubo bubo based on Ensembl version 104.",3.13,"BubBub1.0","ensembl","http://www.ensembl.org",104,"Bubo bubo",30461,TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v104/EnsDb.Bbubo.v104.sqlite","EnsDb.Bbubo.v104.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:104"
"Ensembl 104 EnsDb for Bos grunniens","Gene and protein annotations for Bos grunniens based on Ensembl version 104.",3.13,"LU_Bosgru_v3.0","ensembl","http://www.ensembl.org",104,"Bos grunniens",30521,TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v104/EnsDb.Bgrunniens.v104.sqlite","EnsDb.Bgrunniens.v104.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:104"
"Ensembl 104 EnsDb for Buteo japonicus","Gene and protein annotations for Buteo japonicus based on Ensembl version 104.",3.13,"ButJap1.0","ensembl","http://www.ensembl.org",104,"Buteo japonicus",224669,TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v104/EnsDb.Bjaponicus.v104.sqlite","EnsDb.Bjaponicus.v104.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:104"
"Ensembl 104 EnsDb for Balaenoptera musculus","Gene and protein annotations for Balaenoptera musculus based on Ensembl version 104.",3.13,"mBalMus1.v2","ensembl","http://www.ensembl.org",104,"Balaenoptera musculus",9771,TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v104/EnsDb.Bmusculus.v104.sqlite","EnsDb.Bmusculus.v104.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:104"
"Ensembl 104 EnsDb for Bos mutus","Gene and protein annotations for Bos mutus based on Ensembl version 104.",3.13,"BosGru_v2.0","ensembl","http://www.ensembl.org",104,"Bos mutus",72004,TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v104/EnsDb.Bmutus.v104.sqlite","EnsDb.Bmutus.v104.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:104"
"Ensembl 104 EnsDb for Betta splendens","Gene and protein annotations for Betta splendens based on Ensembl version 104.",3.13,"fBetSpl5.2","ensembl","http://www.ensembl.org",104,"Betta splendens",158456,TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v104/EnsDb.Bsplendens.v104.sqlite","EnsDb.Bsplendens.v104.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:104"
