"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath","ResourceName","Tags"
"Ensembl 109 EnsDb for Anser brachyrhynchus","Gene and protein annotations for Anser brachyrhynchus based on Ensembl version 109.","3.16","ASM259213v1","ensembl","http://www.ensembl.org","109","Anser brachyrhynchus","132585",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v109/EnsDb.Abrachyrhynchus.v109.sqlite","EnsDb.Abrachyrhynchus.v109.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:109"
"Ensembl 109 EnsDb for Astatotilapia calliptera","Gene and protein annotations for Astatotilapia calliptera based on Ensembl version 109.","3.16","fAstCal1.2","ensembl","http://www.ensembl.org","109","Astatotilapia calliptera","8154",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v109/EnsDb.Acalliptera.v109.sqlite","EnsDb.Acalliptera.v109.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:109"
"Ensembl 109 EnsDb for Anolis carolinensis","Gene and protein annotations for Anolis carolinensis based on Ensembl version 109.","3.16","AnoCar2.0v2","ensembl","http://www.ensembl.org","109","Anolis carolinensis","28377",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v109/EnsDb.Acarolinensis.v109.sqlite","EnsDb.Acarolinensis.v109.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:109"
"Ensembl 109 EnsDb for Aquila chrysaetos chrysaetos","Gene and protein annotations for Aquila chrysaetos chrysaetos based on Ensembl version 109.","3.16","bAquChr1.2","ensembl","http://www.ensembl.org","109","Aquila chrysaetos chrysaetos","223781",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v109/EnsDb.Achrysaetos_chrysaetos.v109.sqlite","EnsDb.Achrysaetos_chrysaetos.v109.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:109"
"Ensembl 109 EnsDb for Amphilophus citrinellus","Gene and protein annotations for Amphilophus citrinellus based on Ensembl version 109.","3.16","Midas_v5","ensembl","http://www.ensembl.org","109","Amphilophus citrinellus","61819",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v109/EnsDb.Acitrinellus.v109.sqlite","EnsDb.Acitrinellus.v109.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:109"
"Ensembl 109 EnsDb for Amazona collaria","Gene and protein annotations for Amazona collaria based on Ensembl version 109.","3.16","ASM394721v1","ensembl","http://www.ensembl.org","109","Amazona collaria","241587",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v109/EnsDb.Acollaria.v109.sqlite","EnsDb.Acollaria.v109.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:109"
"Ensembl 109 EnsDb for Athene cunicularia","Gene and protein annotations for Athene cunicularia based on Ensembl version 109.","3.16","athCun1","ensembl","http://www.ensembl.org","109","Athene cunicularia","194338",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v109/EnsDb.Acunicularia.v109.sqlite","EnsDb.Acunicularia.v109.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:109"
"Ensembl 109 EnsDb for Anser cygnoides","Gene and protein annotations for Anser cygnoides based on Ensembl version 109.","3.16","GooseV1.0","ensembl","http://www.ensembl.org","109","Anser cygnoides","8845",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v109/EnsDb.Acygnoides.v109.sqlite","EnsDb.Acygnoides.v109.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:109"
"Ensembl 109 EnsDb for Apteryx haastii","Gene and protein annotations for Apteryx haastii based on Ensembl version 109.","3.16","aptHaa1","ensembl","http://www.ensembl.org","109","Apteryx haastii","8823",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v109/EnsDb.Ahaastii.v109.sqlite","EnsDb.Ahaastii.v109.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:109"
"Ensembl 109 EnsDb for Ailuropoda melanoleuca","Gene and protein annotations for Ailuropoda melanoleuca based on Ensembl version 109.","3.16","ASM200744v2","ensembl","http://www.ensembl.org","109","Ailuropoda melanoleuca","9646",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v109/EnsDb.Amelanoleuca.v109.sqlite","EnsDb.Amelanoleuca.v109.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:109"
"Ensembl 109 EnsDb for Astyanax mexicanus","Gene and protein annotations for Astyanax mexicanus based on Ensembl version 109.","3.16","Astyanax_mexicanus-1.0.2","ensembl","http://www.ensembl.org","109","Astyanax mexicanus","7994",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v109/EnsDb.Amexicanus_pachon.v109.sqlite","EnsDb.Amexicanus_pachon.v109.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:109"
"Ensembl 109 EnsDb for Astyanax mexicanus","Gene and protein annotations for Astyanax mexicanus based on Ensembl version 109.","3.16","Astyanax_mexicanus-2.0","ensembl","http://www.ensembl.org","109","Astyanax mexicanus","7994",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v109/EnsDb.Amexicanus.v109.sqlite","EnsDb.Amexicanus.v109.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:109"
"Ensembl 109 EnsDb for Aotus nancymaae","Gene and protein annotations for Aotus nancymaae based on Ensembl version 109.","3.16","Anan_2.0","ensembl","http://www.ensembl.org","109","Aotus nancymaae","37293",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v109/EnsDb.Anancymaae.v109.sqlite","EnsDb.Anancymaae.v109.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:109"
"Ensembl 109 EnsDb for Accipiter nisus","Gene and protein annotations for Accipiter nisus based on Ensembl version 109.","3.16","Accipiter_nisus_ver1.0","ensembl","http://www.ensembl.org","109","Accipiter nisus","211598",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v109/EnsDb.Anisus.v109.sqlite","EnsDb.Anisus.v109.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:109"
"Ensembl 109 EnsDb for Amphiprion ocellaris","Gene and protein annotations for Amphiprion ocellaris based on Ensembl version 109.","3.16","AmpOce1.0","ensembl","http://www.ensembl.org","109","Amphiprion ocellaris","80972",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v109/EnsDb.Aocellaris.v109.sqlite","EnsDb.Aocellaris.v109.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:109"
"Ensembl 109 EnsDb for Apteryx owenii","Gene and protein annotations for Apteryx owenii based on Ensembl version 109.","3.16","aptOwe1","ensembl","http://www.ensembl.org","109","Apteryx owenii","8824",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v109/EnsDb.Aowenii.v109.sqlite","EnsDb.Aowenii.v109.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:109"
"Ensembl 109 EnsDb for Amphiprion percula","Gene and protein annotations for Amphiprion percula based on Ensembl version 109.","3.16","Nemo_v1","ensembl","http://www.ensembl.org","109","Amphiprion percula","161767",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v109/EnsDb.Apercula.v109.sqlite","EnsDb.Apercula.v109.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:109"
"Ensembl 109 EnsDb for Anas platyrhynchos platyrhynchos","Gene and protein annotations for Anas platyrhynchos platyrhynchos based on Ensembl version 109.","3.16","CAU_duck1.0","ensembl","http://www.ensembl.org","109","Anas platyrhynchos platyrhynchos","8840",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v109/EnsDb.Aplatyrhynchos_platyrhynchos.v109.sqlite","EnsDb.Aplatyrhynchos_platyrhynchos.v109.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:109"
"Ensembl 109 EnsDb for Anas platyrhynchos","Gene and protein annotations for Anas platyrhynchos based on Ensembl version 109.","3.16","ASM874695v1","ensembl","http://www.ensembl.org","109","Anas platyrhynchos","8839",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v109/EnsDb.Aplatyrhynchos.v109.sqlite","EnsDb.Aplatyrhynchos.v109.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:109"
"Ensembl 109 EnsDb for Acanthochromis polyacanthus","Gene and protein annotations for Acanthochromis polyacanthus based on Ensembl version 109.","3.16","ASM210954v1","ensembl","http://www.ensembl.org","109","Acanthochromis polyacanthus","80966",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v109/EnsDb.Apolyacanthus.v109.sqlite","EnsDb.Apolyacanthus.v109.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:109"
"Ensembl 109 EnsDb for Apteryx rowi","Gene and protein annotations for Apteryx rowi based on Ensembl version 109.","3.16","aptRow1","ensembl","http://www.ensembl.org","109","Apteryx rowi","308060",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v109/EnsDb.Arowi.v109.sqlite","EnsDb.Arowi.v109.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:109"
"Ensembl 109 EnsDb for Anabas testudineus","Gene and protein annotations for Anabas testudineus based on Ensembl version 109.","3.16","fAnaTes1.2","ensembl","http://www.ensembl.org","109","Anabas testudineus","64144",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v109/EnsDb.Atestudineus.v109.sqlite","EnsDb.Atestudineus.v109.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:109"
"Ensembl 109 EnsDb for Anas zonorhyncha","Gene and protein annotations for Anas zonorhyncha based on Ensembl version 109.","3.16","ASM222487v1","ensembl","http://www.ensembl.org","109","Anas zonorhyncha","75864",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v109/EnsDb.Azonorhyncha.v109.sqlite","EnsDb.Azonorhyncha.v109.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:109"
"Ensembl 109 EnsDb for Bison bison bison","Gene and protein annotations for Bison bison bison based on Ensembl version 109.","3.16","Bison_UMD1.0","ensembl","http://www.ensembl.org","109","Bison bison bison","43346",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v109/EnsDb.Bbison_bison.v109.sqlite","EnsDb.Bbison_bison.v109.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:109"
"Ensembl 109 EnsDb for Bubo bubo","Gene and protein annotations for Bubo bubo based on Ensembl version 109.","3.16","BubBub1.0","ensembl","http://www.ensembl.org","109","Bubo bubo","30461",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v109/EnsDb.Bbubo.v109.sqlite","EnsDb.Bbubo.v109.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:109"
"Ensembl 109 EnsDb for Bos grunniens","Gene and protein annotations for Bos grunniens based on Ensembl version 109.","3.16","LU_Bosgru_v3.0","ensembl","http://www.ensembl.org","109","Bos grunniens","30521",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v109/EnsDb.Bgrunniens.v109.sqlite","EnsDb.Bgrunniens.v109.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:109"
