"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Location_Prefix","RDataPath","ResourceName","Tags"
"Ensembl 97 EnsDb for Anser brachyrhynchus","Gene and protein annotations for Anser brachyrhynchus based on Ensembl version 97.","3.9","ASM259213v1","ensembl","http://www.ensembl.org","97","Anser brachyrhynchus","132585",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v97/EnsDb.Abrachyrhynchus.v97.sqlite","EnsDb.Abrachyrhynchus.v97.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:97"
"Ensembl 97 EnsDb for Astatotilapia calliptera","Gene and protein annotations for Astatotilapia calliptera based on Ensembl version 97.","3.9","fAstCal1.2","ensembl","http://www.ensembl.org","97","Astatotilapia calliptera","8154",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v97/EnsDb.Acalliptera.v97.sqlite","EnsDb.Acalliptera.v97.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:97"
"Ensembl 97 EnsDb for Anolis carolinensis","Gene and protein annotations for Anolis carolinensis based on Ensembl version 97.","3.9","AnoCar2.0","ensembl","http://www.ensembl.org","97","Anolis carolinensis","28377",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v97/EnsDb.Acarolinensis.v97.sqlite","EnsDb.Acarolinensis.v97.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:97"
"Ensembl 97 EnsDb for Amphilophus citrinellus","Gene and protein annotations for Amphilophus citrinellus based on Ensembl version 97.","3.9","Midas_v5","ensembl","http://www.ensembl.org","97","Amphilophus citrinellus","61819",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v97/EnsDb.Acitrinellus.v97.sqlite","EnsDb.Acitrinellus.v97.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:97"
"Ensembl 97 EnsDb for Apteryx haastii","Gene and protein annotations for Apteryx haastii based on Ensembl version 97.","3.9","aptHaa1","ensembl","http://www.ensembl.org","97","Apteryx haastii","8823",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v97/EnsDb.Ahaastii.v97.sqlite","EnsDb.Ahaastii.v97.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:97"
"Ensembl 97 EnsDb for Ailuropoda melanoleuca","Gene and protein annotations for Ailuropoda melanoleuca based on Ensembl version 97.","3.9","ailMel1","ensembl","http://www.ensembl.org","97","Ailuropoda melanoleuca","9646",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v97/EnsDb.Amelanoleuca.v97.sqlite","EnsDb.Amelanoleuca.v97.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:97"
"Ensembl 97 EnsDb for Astyanax mexicanus","Gene and protein annotations for Astyanax mexicanus based on Ensembl version 97.","3.9","Astyanax_mexicanus-2.0","ensembl","http://www.ensembl.org","97","Astyanax mexicanus","7994",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v97/EnsDb.Amexicanus.v97.sqlite","EnsDb.Amexicanus.v97.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:97"
"Ensembl 97 EnsDb for Aotus nancymaae","Gene and protein annotations for Aotus nancymaae based on Ensembl version 97.","3.9","Anan_2.0","ensembl","http://www.ensembl.org","97","Aotus nancymaae","37293",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v97/EnsDb.Anancymaae.v97.sqlite","EnsDb.Anancymaae.v97.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:97"
"Ensembl 97 EnsDb for Amphiprion ocellaris","Gene and protein annotations for Amphiprion ocellaris based on Ensembl version 97.","3.9","AmpOce1.0","ensembl","http://www.ensembl.org","97","Amphiprion ocellaris","80972",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v97/EnsDb.Aocellaris.v97.sqlite","EnsDb.Aocellaris.v97.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:97"
"Ensembl 97 EnsDb for Apteryx owenii","Gene and protein annotations for Apteryx owenii based on Ensembl version 97.","3.9","aptOwe1","ensembl","http://www.ensembl.org","97","Apteryx owenii","8824",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v97/EnsDb.Aowenii.v97.sqlite","EnsDb.Aowenii.v97.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:97"
