"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Location_Prefix","RDataPath","ResourceName","Tags"
"Ensembl 102 EnsDb for Anser brachyrhynchus","Gene and protein annotations for Anser brachyrhynchus based on Ensembl version 102.","3.12","ASM259213v1","ensembl","http://www.ensembl.org","102","Anser brachyrhynchus","132585",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v102/EnsDb.Abrachyrhynchus.v102.sqlite","EnsDb.Abrachyrhynchus.v102.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:102"
"Ensembl 102 EnsDb for Astatotilapia calliptera","Gene and protein annotations for Astatotilapia calliptera based on Ensembl version 102.","3.12","fAstCal1.2","ensembl","http://www.ensembl.org","102","Astatotilapia calliptera","8154",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v102/EnsDb.Acalliptera.v102.sqlite","EnsDb.Acalliptera.v102.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:102"
"Ensembl 102 EnsDb for Anolis carolinensis","Gene and protein annotations for Anolis carolinensis based on Ensembl version 102.","3.12","AnoCar2.0","ensembl","http://www.ensembl.org","102","Anolis carolinensis","28377",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v102/EnsDb.Acarolinensis.v102.sqlite","EnsDb.Acarolinensis.v102.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:102"
"Ensembl 102 EnsDb for Amphilophus citrinellus","Gene and protein annotations for Amphilophus citrinellus based on Ensembl version 102.","3.12","Midas_v5","ensembl","http://www.ensembl.org","102","Amphilophus citrinellus","61819",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v102/EnsDb.Acitrinellus.v102.sqlite","EnsDb.Acitrinellus.v102.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:102"
"Ensembl 102 EnsDb for Amazona collaria","Gene and protein annotations for Amazona collaria based on Ensembl version 102.","3.12","ASM394721v1","ensembl","http://www.ensembl.org","102","Amazona collaria","241587",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v102/EnsDb.Acollaria.v102.sqlite","EnsDb.Acollaria.v102.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:102"
"Ensembl 102 EnsDb for Athene cunicularia","Gene and protein annotations for Athene cunicularia based on Ensembl version 102.","3.12","athCun1","ensembl","http://www.ensembl.org","102","Athene cunicularia","194338",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v102/EnsDb.Acunicularia.v102.sqlite","EnsDb.Acunicularia.v102.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:102"
"Ensembl 102 EnsDb for Anser cygnoides","Gene and protein annotations for Anser cygnoides based on Ensembl version 102.","3.12","GooseV1.0","ensembl","http://www.ensembl.org","102","Anser cygnoides","8845",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v102/EnsDb.Acygnoides.v102.sqlite","EnsDb.Acygnoides.v102.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:102"
"Ensembl 102 EnsDb for Apteryx haastii","Gene and protein annotations for Apteryx haastii based on Ensembl version 102.","3.12","aptHaa1","ensembl","http://www.ensembl.org","102","Apteryx haastii","8823",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v102/EnsDb.Ahaastii.v102.sqlite","EnsDb.Ahaastii.v102.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:102"
"Ensembl 102 EnsDb for Ailuropoda melanoleuca","Gene and protein annotations for Ailuropoda melanoleuca based on Ensembl version 102.","3.12","ailMel1","ensembl","http://www.ensembl.org","102","Ailuropoda melanoleuca","9646",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v102/EnsDb.Amelanoleuca.v102.sqlite","EnsDb.Amelanoleuca.v102.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:102"
"Ensembl 102 EnsDb for Astyanax mexicanus","Gene and protein annotations for Astyanax mexicanus based on Ensembl version 102.","3.12","Astyanax_mexicanus-2.0","ensembl","http://www.ensembl.org","102","Astyanax mexicanus","7994",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v102/EnsDb.Amexicanus.v102.sqlite","EnsDb.Amexicanus.v102.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:102"
"Ensembl 102 EnsDb for Aotus nancymaae","Gene and protein annotations for Aotus nancymaae based on Ensembl version 102.","3.12","Anan_2.0","ensembl","http://www.ensembl.org","102","Aotus nancymaae","37293",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v102/EnsDb.Anancymaae.v102.sqlite","EnsDb.Anancymaae.v102.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:102"
"Ensembl 102 EnsDb for Accipiter nisus","Gene and protein annotations for Accipiter nisus based on Ensembl version 102.","3.12","Accipiter_nisus_ver1.0","ensembl","http://www.ensembl.org","102","Accipiter nisus","211598",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v102/EnsDb.Anisus.v102.sqlite","EnsDb.Anisus.v102.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:102"
"Ensembl 102 EnsDb for Amphiprion ocellaris","Gene and protein annotations for Amphiprion ocellaris based on Ensembl version 102.","3.12","AmpOce1.0","ensembl","http://www.ensembl.org","102","Amphiprion ocellaris","80972",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v102/EnsDb.Aocellaris.v102.sqlite","EnsDb.Aocellaris.v102.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:102"
"Ensembl 102 EnsDb for Apteryx owenii","Gene and protein annotations for Apteryx owenii based on Ensembl version 102.","3.12","aptOwe1","ensembl","http://www.ensembl.org","102","Apteryx owenii","8824",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v102/EnsDb.Aowenii.v102.sqlite","EnsDb.Aowenii.v102.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:102"
"Ensembl 102 EnsDb for Amphiprion percula","Gene and protein annotations for Amphiprion percula based on Ensembl version 102.","3.12","Nemo_v1","ensembl","http://www.ensembl.org","102","Amphiprion percula","161767",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v102/EnsDb.Apercula.v102.sqlite","EnsDb.Apercula.v102.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:102"
"Ensembl 102 EnsDb for Anas platyrhynchos","Gene and protein annotations for Anas platyrhynchos based on Ensembl version 102.","3.12","ASM874695v1","ensembl","http://www.ensembl.org","102","Anas platyrhynchos","8839",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v102/EnsDb.Aplatyrhynchos.v102.sqlite","EnsDb.Aplatyrhynchos.v102.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:102"
