"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Location_Prefix","RDataPath","ResourceName","Tags"
"Ensembl 103 EnsDb for Anser brachyrhynchus","Gene and protein annotations for Anser brachyrhynchus based on Ensembl version 103.","3.12","ASM259213v1","ensembl","http://www.ensembl.org","103","Anser brachyrhynchus","132585",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v103/EnsDb.Abrachyrhynchus.v103.sqlite","EnsDb.Abrachyrhynchus.v103.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:103"
"Ensembl 103 EnsDb for Astatotilapia calliptera","Gene and protein annotations for Astatotilapia calliptera based on Ensembl version 103.","3.12","fAstCal1.2","ensembl","http://www.ensembl.org","103","Astatotilapia calliptera","8154",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v103/EnsDb.Acalliptera.v103.sqlite","EnsDb.Acalliptera.v103.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:103"
"Ensembl 103 EnsDb for Anolis carolinensis","Gene and protein annotations for Anolis carolinensis based on Ensembl version 103.","3.12","AnoCar2.0","ensembl","http://www.ensembl.org","103","Anolis carolinensis","28377",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v103/EnsDb.Acarolinensis.v103.sqlite","EnsDb.Acarolinensis.v103.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:103"
"Ensembl 103 EnsDb for Amphilophus citrinellus","Gene and protein annotations for Amphilophus citrinellus based on Ensembl version 103.","3.12","Midas_v5","ensembl","http://www.ensembl.org","103","Amphilophus citrinellus","61819",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v103/EnsDb.Acitrinellus.v103.sqlite","EnsDb.Acitrinellus.v103.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:103"
"Ensembl 103 EnsDb for Amazona collaria","Gene and protein annotations for Amazona collaria based on Ensembl version 103.","3.12","ASM394721v1","ensembl","http://www.ensembl.org","103","Amazona collaria","241587",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v103/EnsDb.Acollaria.v103.sqlite","EnsDb.Acollaria.v103.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:103"
"Ensembl 103 EnsDb for Athene cunicularia","Gene and protein annotations for Athene cunicularia based on Ensembl version 103.","3.12","athCun1","ensembl","http://www.ensembl.org","103","Athene cunicularia","194338",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v103/EnsDb.Acunicularia.v103.sqlite","EnsDb.Acunicularia.v103.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:103"
"Ensembl 103 EnsDb for Anser cygnoides","Gene and protein annotations for Anser cygnoides based on Ensembl version 103.","3.12","GooseV1.0","ensembl","http://www.ensembl.org","103","Anser cygnoides","8845",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v103/EnsDb.Acygnoides.v103.sqlite","EnsDb.Acygnoides.v103.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:103"
"Ensembl 103 EnsDb for Apteryx haastii","Gene and protein annotations for Apteryx haastii based on Ensembl version 103.","3.12","aptHaa1","ensembl","http://www.ensembl.org","103","Apteryx haastii","8823",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v103/EnsDb.Ahaastii.v103.sqlite","EnsDb.Ahaastii.v103.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:103"
"Ensembl 103 EnsDb for Ailuropoda melanoleuca","Gene and protein annotations for Ailuropoda melanoleuca based on Ensembl version 103.","3.12","ASM200744v2","ensembl","http://www.ensembl.org","103","Ailuropoda melanoleuca","9646",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v103/EnsDb.Amelanoleuca.v103.sqlite","EnsDb.Amelanoleuca.v103.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:103"
"Ensembl 103 EnsDb for Astyanax mexicanus","Gene and protein annotations for Astyanax mexicanus based on Ensembl version 103.","3.12","Astyanax_mexicanus-2.0","ensembl","http://www.ensembl.org","103","Astyanax mexicanus","7994",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v103/EnsDb.Amexicanus.v103.sqlite","EnsDb.Amexicanus.v103.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:103"
"Ensembl 103 EnsDb for Aotus nancymaae","Gene and protein annotations for Aotus nancymaae based on Ensembl version 103.","3.12","Anan_2.0","ensembl","http://www.ensembl.org","103","Aotus nancymaae","37293",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v103/EnsDb.Anancymaae.v103.sqlite","EnsDb.Anancymaae.v103.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:103"
"Ensembl 103 EnsDb for Accipiter nisus","Gene and protein annotations for Accipiter nisus based on Ensembl version 103.","3.12","Accipiter_nisus_ver1.0","ensembl","http://www.ensembl.org","103","Accipiter nisus","211598",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v103/EnsDb.Anisus.v103.sqlite","EnsDb.Anisus.v103.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:103"
"Ensembl 103 EnsDb for Amphiprion ocellaris","Gene and protein annotations for Amphiprion ocellaris based on Ensembl version 103.","3.12","AmpOce1.0","ensembl","http://www.ensembl.org","103","Amphiprion ocellaris","80972",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v103/EnsDb.Aocellaris.v103.sqlite","EnsDb.Aocellaris.v103.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:103"
"Ensembl 103 EnsDb for Apteryx owenii","Gene and protein annotations for Apteryx owenii based on Ensembl version 103.","3.12","aptOwe1","ensembl","http://www.ensembl.org","103","Apteryx owenii","8824",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v103/EnsDb.Aowenii.v103.sqlite","EnsDb.Aowenii.v103.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:103"
"Ensembl 103 EnsDb for Amphiprion percula","Gene and protein annotations for Amphiprion percula based on Ensembl version 103.","3.12","Nemo_v1","ensembl","http://www.ensembl.org","103","Amphiprion percula","161767",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v103/EnsDb.Apercula.v103.sqlite","EnsDb.Apercula.v103.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:103"
"Ensembl 103 EnsDb for Anas platyrhynchos","Gene and protein annotations for Anas platyrhynchos based on Ensembl version 103.","3.12","ASM874695v1","ensembl","http://www.ensembl.org","103","Anas platyrhynchos","8839",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v103/EnsDb.Aplatyrhynchos.v103.sqlite","EnsDb.Aplatyrhynchos.v103.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:103"
"Ensembl 103 EnsDb for Acanthochromis polyacanthus","Gene and protein annotations for Acanthochromis polyacanthus based on Ensembl version 103.","3.12","ASM210954v1","ensembl","http://www.ensembl.org","103","Acanthochromis polyacanthus","80966",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v103/EnsDb.Apolyacanthus.v103.sqlite","EnsDb.Apolyacanthus.v103.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:103"
"Ensembl 103 EnsDb for Apteryx rowi","Gene and protein annotations for Apteryx rowi based on Ensembl version 103.","3.12","aptRow1","ensembl","http://www.ensembl.org","103","Apteryx rowi","308060",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v103/EnsDb.Arowi.v103.sqlite","EnsDb.Arowi.v103.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:103"
"Ensembl 103 EnsDb for Anabas testudineus","Gene and protein annotations for Anabas testudineus based on Ensembl version 103.","3.12","fAnaTes1.2","ensembl","http://www.ensembl.org","103","Anabas testudineus","64144",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v103/EnsDb.Atestudineus.v103.sqlite","EnsDb.Atestudineus.v103.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:103"
"Ensembl 103 EnsDb for Anas zonorhyncha","Gene and protein annotations for Anas zonorhyncha based on Ensembl version 103.","3.12","ASM222487v1","ensembl","http://www.ensembl.org","103","Anas zonorhyncha","75864",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","http://s3.amazonaws.com/annotationhub/","AHEnsDbs/v103/EnsDb.Azonorhyncha.v103.sqlite","EnsDb.Azonorhyncha.v103.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:103"
