"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath","ResourceName","Tags"
"Ensembl 112 EnsDb for Anser brachyrhynchus","Gene and protein annotations for Anser brachyrhynchus based on Ensembl version 112.","3.19","ASM259213v1","ensembl","http://www.ensembl.org","112","Anser brachyrhynchus","132585",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v112/EnsDb.Abrachyrhynchus.v112.sqlite","EnsDb.Abrachyrhynchus.v112.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:112"
"Ensembl 112 EnsDb for Astatotilapia calliptera","Gene and protein annotations for Astatotilapia calliptera based on Ensembl version 112.","3.19","fAstCal1.3","ensembl","http://www.ensembl.org","112","Astatotilapia calliptera","8154",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v112/EnsDb.Acalliptera.v112.sqlite","EnsDb.Acalliptera.v112.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:112"
"Ensembl 112 EnsDb for Anolis carolinensis","Gene and protein annotations for Anolis carolinensis based on Ensembl version 112.","3.19","AnoCar2.0v2","ensembl","http://www.ensembl.org","112","Anolis carolinensis","28377",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v112/EnsDb.Acarolinensis.v112.sqlite","EnsDb.Acarolinensis.v112.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:112"
"Ensembl 112 EnsDb for Aquila chrysaetos chrysaetos","Gene and protein annotations for Aquila chrysaetos chrysaetos based on Ensembl version 112.","3.19","bAquChr1.2","ensembl","http://www.ensembl.org","112","Aquila chrysaetos chrysaetos","223781",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v112/EnsDb.Achrysaetos_chrysaetos.v112.sqlite","EnsDb.Achrysaetos_chrysaetos.v112.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:112"
"Ensembl 112 EnsDb for Amphilophus citrinellus","Gene and protein annotations for Amphilophus citrinellus based on Ensembl version 112.","3.19","Midas_v5","ensembl","http://www.ensembl.org","112","Amphilophus citrinellus","61819",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v112/EnsDb.Acitrinellus.v112.sqlite","EnsDb.Acitrinellus.v112.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:112"
"Ensembl 112 EnsDb for Amazona collaria","Gene and protein annotations for Amazona collaria based on Ensembl version 112.","3.19","ASM394721v1","ensembl","http://www.ensembl.org","112","Amazona collaria","241587",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v112/EnsDb.Acollaria.v112.sqlite","EnsDb.Acollaria.v112.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:112"
"Ensembl 112 EnsDb for Athene cunicularia","Gene and protein annotations for Athene cunicularia based on Ensembl version 112.","3.19","athCun1","ensembl","http://www.ensembl.org","112","Athene cunicularia","194338",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v112/EnsDb.Acunicularia.v112.sqlite","EnsDb.Acunicularia.v112.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:112"
"Ensembl 112 EnsDb for Anser cygnoides","Gene and protein annotations for Anser cygnoides based on Ensembl version 112.","3.19","GooseV1.0","ensembl","http://www.ensembl.org","112","Anser cygnoides","8845",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v112/EnsDb.Acygnoides.v112.sqlite","EnsDb.Acygnoides.v112.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:112"
"Ensembl 112 EnsDb for Apteryx haastii","Gene and protein annotations for Apteryx haastii based on Ensembl version 112.","3.19","aptHaa1","ensembl","http://www.ensembl.org","112","Apteryx haastii","8823",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v112/EnsDb.Ahaastii.v112.sqlite","EnsDb.Ahaastii.v112.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:112"
"Ensembl 112 EnsDb for Ailuropoda melanoleuca","Gene and protein annotations for Ailuropoda melanoleuca based on Ensembl version 112.","3.19","ASM200744v2","ensembl","http://www.ensembl.org","112","Ailuropoda melanoleuca","9646",TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v112/EnsDb.Amelanoleuca.v112.sqlite","EnsDb.Amelanoleuca.v112.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:112"
