"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath","ResourceName","Tags"
"Ensembl 98 EnsDb for Anser brachyrhynchus","Gene and protein annotations for Anser brachyrhynchus based on Ensembl version 98.",3.9,"ASM259213v1","ensembl","http://www.ensembl.org",98,"Anser brachyrhynchus",132585,TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v98/EnsDb.Abrachyrhynchus.v98.sqlite","EnsDb.Abrachyrhynchus.v98.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:98"
"Ensembl 98 EnsDb for Astatotilapia calliptera","Gene and protein annotations for Astatotilapia calliptera based on Ensembl version 98.",3.9,"fAstCal1.2","ensembl","http://www.ensembl.org",98,"Astatotilapia calliptera",8154,TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v98/EnsDb.Acalliptera.v98.sqlite","EnsDb.Acalliptera.v98.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:98"
"Ensembl 98 EnsDb for Anolis carolinensis","Gene and protein annotations for Anolis carolinensis based on Ensembl version 98.",3.9,"AnoCar2.0","ensembl","http://www.ensembl.org",98,"Anolis carolinensis",28377,TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v98/EnsDb.Acarolinensis.v98.sqlite","EnsDb.Acarolinensis.v98.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:98"
"Ensembl 98 EnsDb for Amphilophus citrinellus","Gene and protein annotations for Amphilophus citrinellus based on Ensembl version 98.",3.9,"Midas_v5","ensembl","http://www.ensembl.org",98,"Amphilophus citrinellus",61819,TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v98/EnsDb.Acitrinellus.v98.sqlite","EnsDb.Acitrinellus.v98.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:98"
"Ensembl 98 EnsDb for Apteryx haastii","Gene and protein annotations for Apteryx haastii based on Ensembl version 98.",3.9,"aptHaa1","ensembl","http://www.ensembl.org",98,"Apteryx haastii",8823,TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v98/EnsDb.Ahaastii.v98.sqlite","EnsDb.Ahaastii.v98.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:98"
"Ensembl 98 EnsDb for Ailuropoda melanoleuca","Gene and protein annotations for Ailuropoda melanoleuca based on Ensembl version 98.",3.9,"ailMel1","ensembl","http://www.ensembl.org",98,"Ailuropoda melanoleuca",9646,TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v98/EnsDb.Amelanoleuca.v98.sqlite","EnsDb.Amelanoleuca.v98.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:98"
"Ensembl 98 EnsDb for Astyanax mexicanus","Gene and protein annotations for Astyanax mexicanus based on Ensembl version 98.",3.9,"Astyanax_mexicanus-2.0","ensembl","http://www.ensembl.org",98,"Astyanax mexicanus",7994,TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v98/EnsDb.Amexicanus.v98.sqlite","EnsDb.Amexicanus.v98.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:98"
"Ensembl 98 EnsDb for Aotus nancymaae","Gene and protein annotations for Aotus nancymaae based on Ensembl version 98.",3.9,"Anan_2.0","ensembl","http://www.ensembl.org",98,"Aotus nancymaae",37293,TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v98/EnsDb.Anancymaae.v98.sqlite","EnsDb.Anancymaae.v98.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:98"
"Ensembl 98 EnsDb for Amphiprion ocellaris","Gene and protein annotations for Amphiprion ocellaris based on Ensembl version 98.",3.9,"AmpOce1.0","ensembl","http://www.ensembl.org",98,"Amphiprion ocellaris",80972,TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v98/EnsDb.Aocellaris.v98.sqlite","EnsDb.Aocellaris.v98.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:98"
"Ensembl 98 EnsDb for Apteryx owenii","Gene and protein annotations for Apteryx owenii based on Ensembl version 98.",3.9,"aptOwe1","ensembl","http://www.ensembl.org",98,"Apteryx owenii",8824,TRUE,"Ensembl","Johannes Rainer <johannes.rainer@eurac.edu>","EnsDb","EnsDb","AHEnsDbs/v98/EnsDb.Aowenii.v98.sqlite","EnsDb.Aowenii.v98.sqlite","EnsDb:Ensembl:Gene:Transcript:Protein:Annotation:98"
